,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,PrevPodiumRace,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
11,HAM,44,Mercedes,2.0,2.0,Finished,18.0,Azerbaijan,2019.0,33.0,0 days 00:01:40.554000,0.0,0 days 00:01:48.033540,0 days 00:00:06.608413,0 days 00:00:02.017720,0 days 00:00:19.993000,1.0,0.0,0.0,38.0,13.0,0.0,Mercedes,1,False,44,147.04100579053375,345,7587.945871097684,12839,49.414117573011076,38.101082578046324,16.39916918429003,4
12,VET,5,Ferrari,3.0,3.0,Finished,15.0,Azerbaijan,2019.0,32.0,0 days 00:01:40.797000,0.0,0 days 00:01:48.222760,0 days 00:00:06.554177,0 days 00:00:02.206940,0 days 00:00:19.981000,1.0,0.0,0.0,40.0,11.0,0.0,Ferrari,0,False,5,147.46069360523666,337,7642.884598439074,12894,54.4557527693857,5.608006042296072,22.39740684793555,4
13,SAI,55,McLaren,7.0,9.0,Finished,6.0,Azerbaijan,2019.0,25.0,0 days 00:01:41.936000,0.0,0 days 00:01:49.594060,0 days 00:00:06.212396,0 days 00:00:03.578240,0 days 00:00:19.755000,1.0,0.0,0.0,39.0,12.0,0.0,Renault,0,False,55,146.1255664652568,346,7791.628209969788,12435,47.68812940584088,20.44624874118832,18.095417925478348,4
14,RUS,63,Williams,15.0,16.0,+2 Laps,0.0,Azerbaijan,2019.0,20.0,0 days 00:01:45.062000,0.0,0 days 00:01:51.574446808,0 days 00:00:04.532455,0 days 00:00:05.441872340,0 days 00:00:20.613000,2.0,0.0,0.0,38.0,11.0,0.0,Mercedes,0,False,63,141.76929128902316,337,7678.146745971802,12973,47.63850075528701,0.059793554884189325,17.75868580060423,4
15,RAI,7,Alfa Romeo Racing,10.0,0.0,+1 Lap,1.0,Azerbaijan,2019.0,39.0,0 days 00:01:42.059000,0.0,0 days 00:01:50.265285714,0 days 00:00:06.295026,0 days 00:00:04.223775510,0 days 00:00:21.401000,1.0,0.0,0.0,44.0,6.0,0.0,Ferrari,1,False,7,142.1166918429003,355,7304.12238796576,12774,63.38739929506546,17.05060422960725,34.51346928499496,4
16,BOT,77,Mercedes,1.0,1.0,Finished,25.0,Azerbaijan,2019.0,29.0,0 days 00:01:40.495000,0.0,0 days 00:01:48.040980,0 days 00:00:06.492327,0 days 00:00:02.025160,0 days 00:00:20.006000,1.0,0.0,0.0,39.0,12.0,0.0,Mercedes,1,False,77,146.97831696878146,344,7669.470292044311,12950,49.48385574018127,40.99949647532729,15.052240684793555,4
17,GRO,8,Haas F1 Team,18.0,14.0,Brakes,0.0,Azerbaijan,2019.0,33.0,0 days 00:01:43.407000,0.0,0 days 00:01:52.009540540,0 days 00:00:06.116590,0 days 00:00:05.701648648,0 days 00:00:20.906000,1.0,0.0,0.0,34.0,4.0,0.0,Ferrari,0,False,8,108.62377265861028,345,5837.2747041792545,13002,58.27816591137966,23.218781470292043,36.88632930513595,4
18,KUB,88,Williams,16.0,0.0,+2 Laps,0.0,Azerbaijan,2019.0,34.0,0 days 00:01:45.455000,0.0,0 days 00:01:53.160354166,0 days 00:00:06.471769,0 days 00:00:07.055666666,0 days 00:00:18.936333,3.0,0.0,0.0,42.0,7.0,0.0,Mercedes,0,False,88,138.41487286002015,349,7302.519983635448,12505,49.14388217522659,2.4704179254783485,20.861656596173212,4
19,GIO,99,Alfa Romeo Racing,12.0,17.0,+1 Lap,0.0,Azerbaijan,2019.0,25.0,0 days 00:01:42.140000,0.0,0 days 00:01:50.518916666,0 days 00:00:06.626543,0 days 00:00:04.447979166,0 days 00:00:20.776000,1.0,0.0,0.0,43.0,7.0,0.0,Ferrari,0,False,99,144.80394008056396,349,7610.52693856999,12810,54.78342145015106,8.496978851963746,26.645896273917423,4
0,GAS,10,Red Bull Racing,6.0,6.0,Finished,8.0,Spain,2019.0,22.0,0 days 00:01:16.708000,0.0,0 days 00:01:27.355907692,0 days 00:00:13.404937,0 days 00:00:05.281646153,0 days 00:00:22.329000,2.0,0.0,0.0,24.0,42.0,0.0,Honda,0,False,10,143.00074010114716,320,7733.29678056001,12607,44.58801036141606,28.63574688540767,13.432835820895523,5
1,PER,11,Racing Point,15.0,15.0,Finished,0.0,Spain,2019.0,29.0,0 days 00:01:17.886000,0.0,0 days 00:01:27.706692307,0 days 00:00:11.889849,0 days 00:00:05.632430769,0 days 00:00:22.838500,2.0,0.0,0.0,21.0,45.0,0.0,Mercedes,0,False,11,142.21438263229308,325,7620.4936783027015,13164,45.135685210312076,1.1039842111755274,18.215739484396202,5
2,LEC,16,Ferrari,5.0,5.0,Finished,10.0,Spain,2019.0,21.0,0 days 00:01:16.588000,0.0,0 days 00:01:27.270615384,0 days 00:00:13.931675,0 days 00:00:05.196353846,0 days 00:00:22.642000,2.0,21.0,0.0,20.0,25.0,0.0,Ferrari,0,False,16,142.9006414209942,340,7659.389601578882,12536,52.626958184285186,4.283335389169853,20.223263846058963,5
3,STR,18,Racing Point,19.0,16.0,Collision,0.0,Spain,2019.0,20.0,0 days 00:01:18.471000,0.0,0 days 00:01:24.762534883,0 days 00:00:03.062450,0 days 00:00:02.903883720,0 days 00:00:23.321000,1.0,0.0,0.0,22.0,22.0,0.0,Mercedes,0,False,18,95.17441717034662,332,5119.170069076107,13061,29.710527938818306,20.728999629949428,9.396200814111262,5
4,MAG,20,Haas F1 Team,7.0,8.0,Finished,6.0,Spain,2019.0,27.0,0 days 00:01:16.922000,0.0,0 days 00:01:27.469646153,0 days 00:00:12.050601,0 days 00:00:05.395384615,0 days 00:00:22.508500,2.0,0.0,0.0,22.0,44.0,0.0,Ferrari,0,False,20,142.80168373010977,335,7709.212871592451,13021,47.140372517577404,2.066115702479339,18.53028247193783,5
5,ALB,23,Toro Rosso,11.0,11.0,Finished,0.0,Spain,2019.0,23.0,0 days 00:01:17.445000,0.0,0 days 00:01:26.326125,0 days 00:00:10.202958,0 days 00:00:04.428390625,0 days 00:00:30.468000,2.0,0.0,0.0,41.0,25.0,0.0,Honda,0,False,23,142.45010484766252,342,7712.722431232269,12731,46.794837794498584,0.5273220673492044,16.92672998643148,5
6,KVY,26,Toro Rosso,9.0,9.0,Finished,2.0,Spain,2019.0,25.0,0 days 00:01:17.243000,0.0,0 days 00:01:27.532415384,0 days 00:00:12.707797,0 days 00:00:05.458153846,0 days 00:00:27.935000,2.0,0.0,0.0,45.0,21.0,0.0,Honda,0,False,26,142.69930307141976,340,7801.156778093006,12919,48.09837177747625,1.113235475514987,15.548291599851979,5
7,HUL,27,Renault,13.0,0.0,Finished,0.0,Spain,2019.0,31.0,0 days 00:01:18.404000,0.0,0 days 00:01:27.614515625,0 days 00:00:11.486043,0 days 00:00:05.532328125,0 days 00:00:22.193000,1.0,0.0,0.0,35.0,31.0,0.0,Renault,0,False,27,140.57215986184778,336,7444.569322807451,12319,65.7825644504749,18.743061551745406,32.641544344393736,5
8,RIC,3,Renault,12.0,13.0,Finished,0.0,Spain,2019.0,30.0,0 days 00:01:17.299000,0.0,0 days 00:01:27.560692307,0 days 00:00:12.419753,0 days 00:00:05.486430769,0 days 00:00:22.540500,2.0,21.0,0.0,21.0,24.0,0.0,Renault,2,False,3,139.93891081781177,336,7819.533088688788,12314,48.22014925373134,4.132231404958678,16.738620944862465,5
9,VER,33,Red Bull Racing,3.0,4.0,Finished,15.0,Spain,2019.0,21.0,0 days 00:01:16.357000,0.0,0 days 00:01:27.210892307,0 days 00:00:13.827246,0 days 00:00:05.136630769,0 days 00:00:22.478500,2.0,0.0,0.0,23.0,43.0,0.0,Honda,2,False,33,143.0651289009498,323,7659.315375601333,12743,45.051992105587765,0.743184901936598,15.156654742814851,5
10,NOR,4,McLaren,20.0,10.0,Collision,0.0,Spain,2019.0,19.0,0 days 00:01:17.338000,0.0,0 days 00:01:24.755604651,0 days 00:00:02.909658,0 days 00:00:02.896953488,0 days 00:00:21.579000,1.0,0.0,0.0,18.0,26.0,0.0,Renault,0,False,4,95.19581842851856,340,5155.710928826939,12293,58.570093746145304,26.600468730726533,36.74293820155422,5
11,HAM,44,Mercedes,1.0,2.0,Finished,26.0,Spain,2019.0,33.0,0 days 00:01:16.038000,1.0,0 days 00:01:26.065718750,0 days 00:00:13.737285,0 days 00:00:04.209250,0 days 00:00:22.388000,2.0,0.0,0.0,19.0,47.0,0.0,Mercedes,7,False,44,142.77032194399902,332,7545.470920192426,12659,46.54597878376711,28.426051560379918,15.344763784383867,5
12,VET,5,Ferrari,4.0,3.0,Finished,12.0,Spain,2019.0,32.0,0 days 00:01:16.272000,0.0,0 days 00:01:27.217800,0 days 00:00:13.593095,0 days 00:00:05.143538461,0 days 00:00:22.694500,2.0,0.0,0.0,47.0,19.0,0.0,Ferrari,5,False,5,142.97921549278402,344,7682.337856173677,12770,54.71493770815345,7.7772295547058095,25.08942888861478,5
13,SAI,55,McLaren,8.0,12.0,Finished,4.0,Spain,2019.0,25.0,0 days 00:01:17.599000,0.0,0 days 00:01:27.502261538,0 days 00:00:11.014414,0 days 00:00:05.428000,0 days 00:00:21.506500,2.0,0.0,0.0,22.0,44.0,0.0,Renault,0,False,55,142.4402985074627,338,7754.997532996176,12205,46.21392006907611,0.45022819785370666,15.896755889971628,5
14,RUS,63,Williams,17.0,19.0,+1 Lap,0.0,Spain,2019.0,20.0,0 days 00:01:19.072000,0.0,0 days 00:01:29.230796875,0 days 00:00:10.706687,0 days 00:00:07.125546875,0 days 00:00:22.144000,2.0,0.0,0.0,53.0,12.0,0.0,Mercedes,0,False,63,140.5550450228198,331,7615.488127544098,12902,44.797304798322436,1.0207228321203898,17.182681633156534,5
15,RAI,7,Alfa Romeo Racing,14.0,14.0,Finished,0.0,Spain,2019.0,39.0,0 days 00:01:17.788000,0.0,0 days 00:01:27.526415384,0 days 00:00:11.027826,0 days 00:00:05.452153846,0 days 00:00:22.445500,2.0,17.0,0.0,28.0,21.0,0.0,Ferrari,5,False,7,143.04548538300233,342,7739.391205131368,12821,54.35031454298754,8.588257061798446,24.836560996669547,5
16,BOT,77,Mercedes,2.0,1.0,Finished,18.0,Spain,2019.0,29.0,0 days 00:01:15.406000,0.0,0 days 00:01:27.169200,0 days 00:00:14.630581,0 days 00:00:05.094938461,0 days 00:00:22.026000,2.0,0.0,0.0,19.0,47.0,0.0,Mercedes,1,False,77,143.04215492784013,332,7643.609719995066,12675,45.84396200814111,31.145923276181076,14.296287159245097,5
