,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
18,RUS,63,Mercedes,4.0,2.0,Finished,13.0,Mexico,2022.0,23.0,0 days 00:01:18.079000,1,0 days 00:01:23.975855072,0 days 00:00:04.176311,0 days 00:00:01.363405797,0 days 00:00:22.956500,2.0,35.0,0.0,34.0,2.0,0.0,Mercedes,False,63,118.80171706676875,343,6705.6126209875865,12840,44.673866681248974,8.823207743205556,24.257669382621536,78
19,BOT,77,Alfa Romeo,10.0,6.0,+1 Lap,1.0,Mexico,2022.0,33.0,0 days 00:01:18.401000,0,0 days 00:01:25.038333333,0 days 00:00:03.188223,0 days 00:00:02.402376811,0 days 00:00:23.863000,1.0,31.0,0.0,39.0,0.0,0.0,,False,77,118.68800240608083,352,6474.83499207087,12606,49.94731229835402,13.922458577131295,32.81566139880789,78
0,VER,1,Red Bull Racing,6.0,3.0,Finished,8.0,Brazil,2022.0,25.0,0 days 00:01:10.881000,0,0 days 00:01:23.307657142,0 days 00:00:14.137210,0 days 00:00:04.126985714,0 days 00:00:28.908667,3.0,0.0,0.0,16.0,55.0,0.0,Red Bull,False,1,112.79524368134798,339,6162.885357790338,12404,47.612429348405676,14.154313746400767,28.847179268422735,79
1,GAS,10,AlphaTauri,14.0,10.0,Finished,0.0,Brazil,2022.0,26.0,0 days 00:01:11.675000,0,0 days 00:01:23.411171428,0 days 00:00:13.255059,0 days 00:00:04.230500,0 days 00:00:23.265667,3.0,0.0,0.0,35.0,36.0,0.0,,False,10,117.50775834488643,343,6600.048043084142,12806,38.195664924816036,1.9222565852618108,15.114108990082114,79
2,PER,11,Red Bull Racing,7.0,4.0,Finished,6.0,Brazil,2022.0,32.0,0 days 00:01:11.456000,0,0 days 00:01:23.350300,0 days 00:00:15.036159,0 days 00:00:04.169628571,0 days 00:00:23.010500,2.0,0.0,0.0,48.0,23.0,0.0,Red Bull,False,11,115.90343393409405,327,6345.354724325477,12955,45.64370267676229,11.221606057374427,25.23728271302122,79
3,ALO,14,Alpine,5.0,17.0,Finished,10.0,Brazil,2022.0,41.0,0 days 00:01:11.394000,0,0 days 00:01:23.041128571,0 days 00:00:13.717232,0 days 00:00:03.860457142,0 days 00:00:25.374333,3.0,0.0,0.0,52.0,19.0,0.0,Renault,False,14,115.9783246240802,334,6309.934307347766,12252,37.49933347552522,2.1622053961821477,16.8337421350112,79
4,LEC,16,Ferrari,4.0,5.0,Finished,12.0,Brazil,2022.0,25.0,0 days 00:01:10.950000,0,0 days 00:01:23.215828571,0 days 00:00:14.074788,0 days 00:00:04.035157142,0 days 00:00:25.458667,3.0,0.0,0.0,21.0,50.0,0.0,Ferrari,False,16,115.92580249546764,330,6603.430254878959,12600,56.26876932920977,16.911058974085527,33.950090647328565,79
5,STR,18,Aston Martin,10.0,15.0,Finished,1.0,Brazil,2022.0,24.0,0 days 00:01:12.210000,0,0 days 00:01:23.390405797,0 days 00:00:12.899858,0 days 00:00:04.167681159,0 days 00:00:23.616500,2.0,0.0,0.0,48.0,23.0,0.0,Mercedes,False,18,116.06017382958302,338,6390.05100245281,12581,45.72051295723579,10.736376239735524,26.78361949450784,79
6,TSU,22,AlphaTauri,17.0,0.0,+1 Lap,0.0,Brazil,2022.0,22.0,0 days 00:01:16.264000,0,0 days 00:01:24.513391304,0 days 00:00:14.637830,0 days 00:00:05.263246376,0 days 00:00:23.522333,3.0,0.0,0.0,36.0,34.0,0.0,,False,22,114.31627919377199,334,6418.5350858483525,12726,53.962061426895595,18.87597312573318,29.868294763783727,79
7,ALB,23,Williams,15.0,19.0,Finished,0.0,Brazil,2022.0,26.0,0 days 00:01:11.631000,0,0 days 00:01:23.389985714,0 days 00:00:12.845184,0 days 00:00:04.209314285,0 days 00:00:23.678333,3.0,4.0,0.0,67.0,0.0,0.0,Mercedes,False,23,115.40919270555615,341,6350.7123546976645,13241,45.06641249866695,12.069425189292952,28.343286765490028,79
