,Abbreviation,TeamName,GridPosition,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLap,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID,CircuitType,carIssue,driverIssue,after_2020
42,LEC,Ferrari,4.0,10.0,China,2019.0,21.0,91.865,0.0,99.046636,4.213128,1.859327,23.574,2.0,20.0,0.0,36.0,0.0,0.0,Ferrari,False,147.24506691565514,329,7382.939153439153,12470,53.57827575474634,4.898848428260193,20.47930283224401,3,race,0,0,0
43,STR,RacingPoint,16.0,0.0,China,2019.0,20.0,94.292,0.0,100.838907,3.724597,3.637296,23.4905,2.0,24.0,0.0,20.0,11.0,0.0,Mercedes,False,144.58253968253968,334,7646.0923436041085,13190,44.78089013383131,13.554310613134144,14.80859010270775,3,race,0,0,0
44,MAG,HaasF1Team,9.0,0.0,China,2019.0,26.0,93.15,0.0,100.903444,3.835907,3.701833,23.6735,2.0,24.0,0.0,22.0,9.0,0.0,Ferrari,False,144.50323685029568,340,7469.212542794896,12553,54.6552443199502,9.62962962962963,24.90507314036726,3,race,0,0,0
45,KVY,ToroRosso,11.0,0.0,China,2019.0,24.0,93.236,0.0,102.4159,7.192723,4.749975,28.837667,3.0,5.0,0.0,25.0,11.0,0.0,Honda,False,107.49060068471832,336,5889.155960161843,12790,53.49909741674448,18.375350140056025,30.043572984749456,3,race,1,0,0
46,HUL,Renault,8.0,0.0,China,2019.0,31.0,92.962,0.0,103.3848,5.58339,4.4902,24.107,1.0,5.0,0.0,0.0,11.0,0.0,Renault,False,43.549828820417055,338,2450.988297541239,12272,67.64313725490196,51.403672580143166,56.1437908496732,3,race,1,0,0
47,RIC,Renault,7.0,6.0,China,2019.0,30.0,92.958,0.0,100.418981,2.879353,3.21737,23.506,1.0,37.0,0.0,0.0,18.0,0.0,Renault,False,144.91350762527233,315,7852.332804232804,12176,47.25546218487395,33.91534391534392,11.48148148148148,3,race,0,0,0
48,VER,RedBullRacing,5.0,12.0,China,2019.0,21.0,92.089,0.0,98.931509,3.892214,1.7442,22.794,2.0,17.0,0.0,39.0,0.0,0.0,Honda,False,147.3394024276377,332,7617.078182384064,12746,45.969810146280736,34.92063492063492,14.366635543106131,3,race,0,0,0
49,NOR,McLaren,15.0,0.0,China,2019.0,19.0,93.967,0.0,102.29951,8.54994,4.960918,35.633333,3.0,16.0,0.0,18.0,16.0,0.0,Renault,False,130.86598194833488,332,6990.1598506069095,12235,41.18994708994709,0.967942732648615,12.22222222222222,3,race,1,0,0
50,HAM,Mercedes,2.0,25.0,China,2019.0,33.0,91.57,0.0,98.544418,4.005881,1.357109,23.1205,2.0,14.0,0.0,42.0,0.0,0.0,Mercedes,False,148.02701525054465,323,7421.829909741675,12753,48.28285091814504,33.311546840958606,12.187986305633364,3,race,0,0,0
51,VET,Ferrari,3.0,15.0,China,2019.0,32.0,91.848,0.0,98.715654,3.965037,1.528345,22.5325,2.0,17.0,0.0,39.0,0.0,0.0,Ferrari,False,148.78910675381263,331,7564.270961718021,12535,54.31826953003424,5.904139433551198,21.85807656395892,3,race,0,0,0
52,SAI,McLaren,14.0,0.0,China,2019.0,25.0,93.523,0.0,100.874055,6.235207,3.672444,34.205,2.0,35.0,0.0,1.0,19.0,0.0,Renault,False,144.05191409897293,327,7513.644600062247,12073,46.51671335200747,0.1089324618736383,14.858387799564271,3,race,0,0,0
53,RUS,Williams,17.0,0.0,China,2019.0,20.0,95.253,0.0,102.379641,3.67028,5.131622,24.1485,2.0,27.0,0.0,22.0,5.0,0.0,Mercedes,False,142.29106753812636,326,7550.296265172736,13014,48.26853408029879,2.253345782757547,16.59508247743542,3,race,0,0,0
54,RAI,AlfaRomeoRacing,13.0,2.0,China,2019.0,39.0,93.419,0.0,100.491074,2.942063,3.289462,23.888,1.0,30.0,0.0,25.0,0.0,0.0,Ferrari,False,145.03958916900095,339,7622.103361344538,12992,52.638530967942735,6.271397447868036,23.03454715219421,3,race,0,0,0
55,BOT,Mercedes,1.0,18.0,China,2019.0,29.0,91.547,0.0,98.627472,3.919366,1.440163,23.1395,2.0,15.0,0.0,41.0,0.0,0.0,Mercedes,False,147.41935885465298,333,7505.075132275132,12455,47.420354808590105,35.655150949268595,12.595704948646125,3,race,0,0,0
56,GRO,HaasF1Team,10.0,0.0,China,2019.0,32.0,93.156,0.0,100.776851,3.903041,3.57524,23.3905,2.0,27.0,0.0,20.0,8.0,0.0,Ferrari,False,145.04450669156552,330,7556.037254901961,12754,50.13993152816682,5.480859010270775,19.81637099284158,3,race,0,0,0
57,KUB,Williams,18.0,0.0,China,2019.0,34.0,95.281,0.0,102.67,4.236136,5.421981,32.627,1.0,28.0,0.0,26.0,0.0,0.0,Mercedes,False,141.77233115468408,324,7567.7267351385,12763,46.55471521942111,0.8123249299719889,17.14908185496421,3,race,0,0,0
58,GIO,AlfaRomeoRacing,19.0,0.0,China,2019.0,25.0,136.522,0.0,101.074722,4.295595,3.873111,25.1605,2.0,0.0,0.0,48.0,7.0,0.0,Ferrari,False,144.60152505446624,330,7515.582352941176,13126,55.29474011826953,8.0765639589169,23.37068160597572,3,race,0,0,0
59,GAS,RedBullRacing,0.0,0.0,Azerbaijan,2019.0,22.0,101.335,0.0,107.943432,1.974767,1.63554,0.0,0.0,0.0,0.0,38.0,0.0,0.0,Honda,False,106.4828172205438,344,5503.933943856999,12503,72.72268378650554,36.60309667673716,47.22117321248741,4,race,1,0,0
60,PER,RacingPoint,5.0,8.0,Azerbaijan,2019.0,29.0,101.593,0.0,109.49836,6.374395,3.48254,20.939,1.0,0.0,0.0,41.0,10.0,0.0,Mercedes,False,146.17277190332325,339,7714.543271651561,13159,47.95081193353474,32.82036757301108,17.51636455186304,4,race,0,0,0
61,LEC,Ferrari,8.0,10.0,Azerbaijan,2019.0,21.0,101.426,1.0,109.25812,6.763091,3.2423,20.1195,2.0,0.0,0.0,34.0,17.0,0.0,Ferrari,False,146.653417673716,345,7558.664526686807,12533,55.69568227593152,6.165030211480362,24.59718026183283,4,race,0,0,0
62,STR,RacingPoint,13.0,2.0,Azerbaijan,2019.0,20.0,102.63,0.0,109.94762,6.3769,3.9318,23.099,1.0,0.0,0.0,41.0,10.0,0.0,Mercedes,False,145.7925478348439,346,7849.69458081571,13130,46.86241188318228,11.13418932527694,17.365307150050352,4,race,0,0,0
63,MAG,HaasF1Team,12.0,0.0,Azerbaijan,2019.0,26.0,102.382,0.0,111.018816,7.269393,4.977306,20.4885,2.0,0.0,0.0,32.0,18.0,0.0,Ferrari,False,144.72872608257805,342,7697.625377643504,12455,51.7453109264854,6.190206445115811,23.66880664652568,4,race,0,0,0
64,ALB,ToroRosso,11.0,0.0,Azerbaijan,2019.0,23.0,102.154,0.0,110.419163,6.511659,4.377653,20.72,1.0,0.0,0.0,38.0,12.0,0.0,Honda,False,145.29871601208458,360,7629.140986908358,13060,48.26545191339376,1.1581067472306144,19.08043806646526,4,race,0,0,0
65,KVY,ToroRosso,6.0,0.0,Azerbaijan,2019.0,25.0,101.681,0.0,111.703187,7.281776,5.253718,21.013,1.0,0.0,0.0,28.0,5.0,0.0,Honda,False,94.47601963746224,343,5032.883559919436,13018,59.38906722054381,27.001510574018127,38.18605236656596,4,race,1,0,0
66,HUL,Renault,15.0,0.0,Azerbaijan,2019.0,31.0,103.427,0.0,111.516673,6.523968,5.475163,21.0975,2.0,0.0,0.0,26.0,24.0,0.0,Renault,False,143.5551044813696,354,7532.49568856999,12366,48.64108131923464,39.0923967774421,16.455815709969787,4,race,0,0,0
67,RIC,Renault,10.0,0.0,Azerbaijan,2019.0,30.0,102.477,0.0,110.117379,4.343009,3.557137,20.884,1.0,0.0,0.0,21.0,10.0,0.0,Renault,False,89.05570241691844,347,4829.69319612286,12247,58.24335976837865,27.43894763343404,37.348942598187314,4,race,1,0,0
68,VER,RedBullRacing,4.0,12.0,Azerbaijan,2019.0,21.0,101.069,0.0,108.29062,6.670946,2.2748,20.973,1.0,0.0,0.0,37.0,14.0,0.0,Honda,False,147.17702039274926,344,7600.368485649546,12495,47.19133937562941,39.56759818731118,15.725704934541792,4,race,0,0,0
69,NOR,McLaren,7.0,4.0,Azerbaijan,2019.0,19.0,101.886,0.0,109.106918,4.86975,3.200081,20.9495,2.0,0.0,0.0,30.0,21.0,0.0,Renault,False,145.93932527693858,343,7903.187562940584,12316,47.4823136958711,2.958207452165156,17.122985901309164,4,race,0,0,0
70,HAM,Mercedes,2.0,18.0,Azerbaijan,2019.0,33.0,100.554,0.0,108.03354,6.608413,2.01772,19.993,1.0,0.0,0.0,38.0,13.0,0.0,Mercedes,False,147.04100579053377,345,7587.945871097684,12839,49.41411757301108,38.10108257804632,16.39916918429003,4,race,0,0,0
71,VET,Ferrari,3.0,15.0,Azerbaijan,2019.0,32.0,100.797,0.0,108.22276,6.554177,2.20694,19.981,1.0,0.0,0.0,40.0,11.0,0.0,Ferrari,False,147.46069360523666,337,7642.884598439074,12894,54.4557527693857,5.608006042296072,22.39740684793555,4,race,0,0,0
72,SAI,McLaren,9.0,6.0,Azerbaijan,2019.0,25.0,101.936,0.0,109.59406,6.212396,3.57824,19.755,1.0,0.0,0.0,39.0,12.0,0.0,Renault,False,146.1255664652568,346,7791.628209969788,12435,47.68812940584088,20.44624874118832,18.095417925478348,4,race,0,0,0
73,RUS,Williams,16.0,0.0,Azerbaijan,2019.0,20.0,105.062,0.0,111.574446,4.532455,5.441872,20.613,2.0,0.0,0.0,38.0,11.0,0.0,Mercedes,False,141.76929128902316,337,7678.146745971802,12973,47.63850075528701,0.0597935548841893,17.75868580060423,4,race,0,0,0
74,RAI,AlfaRomeoRacing,0.0,1.0,Azerbaijan,2019.0,39.0,102.059,0.0,110.265285,6.295026,4.223775,21.401,1.0,0.0,0.0,44.0,6.0,0.0,Ferrari,False,142.1166918429003,355,7304.12238796576,12774,63.38739929506546,17.05060422960725,34.51346928499496,4,race,0,0,0
75,BOT,Mercedes,1.0,25.0,Azerbaijan,2019.0,29.0,100.495,0.0,108.04098,6.492327,2.02516,20.006,1.0,0.0,0.0,39.0,12.0,0.0,Mercedes,False,146.97831696878146,344,7669.470292044311,12950,49.48385574018127,40.99949647532729,15.052240684793556,4,race,0,0,0
76,GRO,HaasF1Team,14.0,0.0,Azerbaijan,2019.0,33.0,103.407,0.0,112.00954,6.11659,5.701648,20.906,1.0,0.0,0.0,34.0,4.0,0.0,Ferrari,False,108.62377265861028,345,5837.274704179255,13002,58.27816591137966,23.218781470292043,36.88632930513595,4,race,1,0,0
77,KUB,Williams,0.0,0.0,Azerbaijan,2019.0,34.0,105.455,0.0,113.160354,6.471769,7.055666,18.936333,3.0,0.0,0.0,42.0,7.0,0.0,Mercedes,False,138.41487286002015,349,7302.519983635448,12505,49.14388217522659,2.4704179254783485,20.86165659617321,4,race,0,0,0
78,GIO,AlfaRomeoRacing,17.0,0.0,Azerbaijan,2019.0,25.0,102.14,0.0,110.518916,6.626543,4.447979,20.776,1.0,0.0,0.0,43.0,7.0,0.0,Ferrari,False,144.80394008056396,349,7610.52693856999,12810,54.78342145015106,8.496978851963746,26.645896273917423,4,race,0,0,0
79,GAS,RedBullRacing,6.0,8.0,Spain,2019.0,22.0,76.708,0.0,87.355907,13.404937,5.281646,22.329,2.0,0.0,0.0,24.0,42.0,0.0,Honda,False,143.00074010114716,320,7733.29678056001,12607,44.58801036141606,28.63574688540767,13.432835820895525,5,race,0,0,0
80,PER,RacingPoint,15.0,0.0,Spain,2019.0,29.0,77.886,0.0,87.706692,11.889849,5.63243,22.8385,2.0,0.0,0.0,21.0,45.0,0.0,Mercedes,False,142.21438263229308,325,7620.493678302701,13164,45.13568521031208,1.1039842111755274,18.2157394843962,5,race,0,0,0
81,LEC,Ferrari,5.0,10.0,Spain,2019.0,21.0,76.588,0.0,87.270615,13.931675,5.196353,22.642,2.0,21.0,0.0,20.0,25.0,0.0,Ferrari,False,142.9006414209942,340,7659.389601578882,12536,52.62695818428519,4.283335389169853,20.223263846058963,5,race,0,0,0
