,Abbreviation,TeamName,GridPosition,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLap,SDLapTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,AverageSpeed,MaxSpeed,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID,CircuitType,carIssue,driverIssue
43,STR,RacingPoint,16.0,0.0,China,2019.0,20.0,94.292,0.0,3.724597,23.4905,2.0,24.0,0.0,20.0,11.0,0.0,Mercedes,False,144.58253968253968,334,13190,44.78089013383131,13.554310613134144,14.80859010270775,3,race,0,0
44,MAG,HaasF1Team,9.0,0.0,China,2019.0,26.0,93.15,0.0,3.835907,23.6735,2.0,24.0,0.0,22.0,9.0,0.0,Ferrari,False,144.50323685029568,340,12553,54.6552443199502,9.62962962962963,24.90507314036726,3,race,0,0
45,KVY,ToroRosso,11.0,0.0,China,2019.0,24.0,93.236,0.0,7.192723,28.837667,3.0,5.0,0.0,25.0,11.0,0.0,Honda,False,107.49060068471832,336,12790,53.49909741674448,18.375350140056025,30.043572984749456,3,race,1,0
46,HUL,Renault,8.0,0.0,China,2019.0,31.0,92.962,0.0,5.58339,24.107,1.0,5.0,0.0,0.0,11.0,0.0,Renault,False,43.549828820417055,338,12272,67.64313725490196,51.403672580143166,56.1437908496732,3,race,1,0
47,RIC,Renault,7.0,6.0,China,2019.0,30.0,92.958,0.0,2.879353,23.506,1.0,37.0,0.0,0.0,18.0,0.0,Renault,False,144.91350762527233,315,12176,47.25546218487395,33.91534391534392,11.48148148148148,3,race,0,0
48,VER,RedBullRacing,5.0,12.0,China,2019.0,21.0,92.089,0.0,3.892214,22.794,2.0,17.0,0.0,39.0,0.0,0.0,Honda,False,147.3394024276377,332,12746,45.969810146280736,34.92063492063492,14.366635543106131,3,race,0,0
49,NOR,McLaren,15.0,0.0,China,2019.0,19.0,93.967,0.0,8.54994,35.633333,3.0,16.0,0.0,18.0,16.0,0.0,Renault,False,130.86598194833488,332,12235,41.18994708994709,0.967942732648615,12.22222222222222,3,race,1,0
50,HAM,Mercedes,2.0,25.0,China,2019.0,33.0,91.57,0.0,4.005881,23.1205,2.0,14.0,0.0,42.0,0.0,0.0,Mercedes,False,148.02701525054465,323,12753,48.28285091814504,33.311546840958606,12.187986305633364,3,race,0,0
51,VET,Ferrari,3.0,15.0,China,2019.0,32.0,91.848,0.0,3.965037,22.5325,2.0,17.0,0.0,39.0,0.0,0.0,Ferrari,False,148.78910675381263,331,12535,54.31826953003424,5.904139433551198,21.85807656395892,3,race,0,0
52,SAI,McLaren,14.0,0.0,China,2019.0,25.0,93.523,0.0,6.235207,34.205,2.0,35.0,0.0,1.0,19.0,0.0,Renault,False,144.05191409897293,327,12073,46.51671335200747,0.1089324618736383,14.858387799564271,3,race,0,0
53,RUS,Williams,17.0,0.0,China,2019.0,20.0,95.253,0.0,3.67028,24.1485,2.0,27.0,0.0,22.0,5.0,0.0,Mercedes,False,142.29106753812636,326,13014,48.26853408029879,2.253345782757547,16.59508247743542,3,race,0,0
54,RAI,AlfaRomeoRacing,13.0,2.0,China,2019.0,39.0,93.419,0.0,2.942063,23.888,1.0,30.0,0.0,25.0,0.0,0.0,Ferrari,False,145.03958916900095,339,12992,52.638530967942735,6.271397447868036,23.03454715219421,3,race,0,0
55,BOT,Mercedes,1.0,18.0,China,2019.0,29.0,91.547,0.0,3.919366,23.1395,2.0,15.0,0.0,41.0,0.0,0.0,Mercedes,False,147.41935885465298,333,12455,47.420354808590105,35.655150949268595,12.595704948646125,3,race,0,0
56,GRO,HaasF1Team,10.0,0.0,China,2019.0,32.0,93.156,0.0,3.903041,23.3905,2.0,27.0,0.0,20.0,8.0,0.0,Ferrari,False,145.04450669156552,330,12754,50.13993152816682,5.480859010270775,19.81637099284158,3,race,0,0
57,KUB,Williams,18.0,0.0,China,2019.0,34.0,95.281,0.0,4.236136,32.627,1.0,28.0,0.0,26.0,0.0,0.0,Mercedes,False,141.77233115468408,324,12763,46.55471521942111,0.8123249299719889,17.14908185496421,3,race,0,0
58,GIO,AlfaRomeoRacing,19.0,0.0,China,2019.0,25.0,136.522,0.0,4.295595,25.1605,2.0,0.0,0.0,48.0,7.0,0.0,Ferrari,False,144.60152505446624,330,13126,55.29474011826953,8.0765639589169,23.37068160597572,3,race,0,0
59,GAS,RedBullRacing,0.0,0.0,Azerbaijan,2019.0,22.0,101.335,0.0,1.974767,0.0,0.0,0.0,0.0,38.0,0.0,0.0,Honda,False,106.4828172205438,344,12503,72.72268378650554,36.60309667673716,47.22117321248741,4,race,1,0
60,PER,RacingPoint,5.0,8.0,Azerbaijan,2019.0,29.0,101.593,0.0,6.374395,20.939,1.0,0.0,0.0,41.0,10.0,0.0,Mercedes,False,146.17277190332325,339,13159,47.95081193353474,32.82036757301108,17.51636455186304,4,race,0,0
61,LEC,Ferrari,8.0,10.0,Azerbaijan,2019.0,21.0,101.426,1.0,6.763091,20.1195,2.0,0.0,0.0,34.0,17.0,0.0,Ferrari,False,146.653417673716,345,12533,55.69568227593152,6.165030211480362,24.59718026183283,4,race,0,0
62,STR,RacingPoint,13.0,2.0,Azerbaijan,2019.0,20.0,102.63,0.0,6.3769,23.099,1.0,0.0,0.0,41.0,10.0,0.0,Mercedes,False,145.7925478348439,346,13130,46.86241188318228,11.13418932527694,17.365307150050352,4,race,0,0
63,MAG,HaasF1Team,12.0,0.0,Azerbaijan,2019.0,26.0,102.382,0.0,7.269393,20.4885,2.0,0.0,0.0,32.0,18.0,0.0,Ferrari,False,144.72872608257805,342,12455,51.7453109264854,6.190206445115811,23.66880664652568,4,race,0,0
64,ALB,ToroRosso,11.0,0.0,Azerbaijan,2019.0,23.0,102.154,0.0,6.511659,20.72,1.0,0.0,0.0,38.0,12.0,0.0,Honda,False,145.29871601208458,360,13060,48.26545191339376,1.1581067472306144,19.08043806646526,4,race,0,0
65,KVY,ToroRosso,6.0,0.0,Azerbaijan,2019.0,25.0,101.681,0.0,7.281776,21.013,1.0,0.0,0.0,28.0,5.0,0.0,Honda,False,94.47601963746224,343,13018,59.38906722054381,27.001510574018127,38.18605236656596,4,race,1,0
66,HUL,Renault,15.0,0.0,Azerbaijan,2019.0,31.0,103.427,0.0,6.523968,21.0975,2.0,0.0,0.0,26.0,24.0,0.0,Renault,False,143.5551044813696,354,12366,48.64108131923464,39.0923967774421,16.455815709969787,4,race,0,0
67,RIC,Renault,10.0,0.0,Azerbaijan,2019.0,30.0,102.477,0.0,4.343009,20.884,1.0,0.0,0.0,21.0,10.0,0.0,Renault,False,89.05570241691844,347,12247,58.24335976837865,27.43894763343404,37.348942598187314,4,race,1,0
68,VER,RedBullRacing,4.0,12.0,Azerbaijan,2019.0,21.0,101.069,0.0,6.670946,20.973,1.0,0.0,0.0,37.0,14.0,0.0,Honda,False,147.17702039274926,344,12495,47.19133937562941,39.56759818731118,15.725704934541792,4,race,0,0
69,NOR,McLaren,7.0,4.0,Azerbaijan,2019.0,19.0,101.886,0.0,4.86975,20.9495,2.0,0.0,0.0,30.0,21.0,0.0,Renault,False,145.93932527693858,343,12316,47.4823136958711,2.958207452165156,17.122985901309164,4,race,0,0
70,HAM,Mercedes,2.0,18.0,Azerbaijan,2019.0,33.0,100.554,0.0,6.608413,19.993,1.0,0.0,0.0,38.0,13.0,0.0,Mercedes,False,147.04100579053377,345,12839,49.41411757301108,38.10108257804632,16.39916918429003,4,race,0,0
71,VET,Ferrari,3.0,15.0,Azerbaijan,2019.0,32.0,100.797,0.0,6.554177,19.981,1.0,0.0,0.0,40.0,11.0,0.0,Ferrari,False,147.46069360523666,337,12894,54.4557527693857,5.608006042296072,22.39740684793555,4,race,0,0
72,SAI,McLaren,9.0,6.0,Azerbaijan,2019.0,25.0,101.936,0.0,6.212396,19.755,1.0,0.0,0.0,39.0,12.0,0.0,Renault,False,146.1255664652568,346,12435,47.68812940584088,20.44624874118832,18.095417925478348,4,race,0,0
73,RUS,Williams,16.0,0.0,Azerbaijan,2019.0,20.0,105.062,0.0,4.532455,20.613,2.0,0.0,0.0,38.0,11.0,0.0,Mercedes,False,141.76929128902316,337,12973,47.63850075528701,0.0597935548841893,17.75868580060423,4,race,0,0
74,RAI,AlfaRomeoRacing,0.0,1.0,Azerbaijan,2019.0,39.0,102.059,0.0,6.295026,21.401,1.0,0.0,0.0,44.0,6.0,0.0,Ferrari,False,142.1166918429003,355,12774,63.38739929506546,17.05060422960725,34.51346928499496,4,race,0,0
75,BOT,Mercedes,1.0,25.0,Azerbaijan,2019.0,29.0,100.495,0.0,6.492327,20.006,1.0,0.0,0.0,39.0,12.0,0.0,Mercedes,False,146.97831696878146,344,12950,49.48385574018127,40.99949647532729,15.052240684793556,4,race,0,0
76,GRO,HaasF1Team,14.0,0.0,Azerbaijan,2019.0,33.0,103.407,0.0,6.11659,20.906,1.0,0.0,0.0,34.0,4.0,0.0,Ferrari,False,108.62377265861028,345,13002,58.27816591137966,23.218781470292043,36.88632930513595,4,race,1,0
77,KUB,Williams,0.0,0.0,Azerbaijan,2019.0,34.0,105.455,0.0,6.471769,18.936333,3.0,0.0,0.0,42.0,7.0,0.0,Mercedes,False,138.41487286002015,349,12505,49.14388217522659,2.4704179254783485,20.86165659617321,4,race,0,0
78,GIO,AlfaRomeoRacing,17.0,0.0,Azerbaijan,2019.0,25.0,102.14,0.0,6.626543,20.776,1.0,0.0,0.0,43.0,7.0,0.0,Ferrari,False,144.80394008056396,349,12810,54.78342145015106,8.496978851963746,26.645896273917423,4,race,0,0
79,GAS,RedBullRacing,6.0,8.0,Spain,2019.0,22.0,76.708,0.0,13.404937,22.329,2.0,0.0,0.0,24.0,42.0,0.0,Honda,False,143.00074010114716,320,12607,44.58801036141606,28.63574688540767,13.432835820895525,5,race,0,0
80,PER,RacingPoint,15.0,0.0,Spain,2019.0,29.0,77.886,0.0,11.889849,22.8385,2.0,0.0,0.0,21.0,45.0,0.0,Mercedes,False,142.21438263229308,325,13164,45.13568521031208,1.1039842111755274,18.2157394843962,5,race,0,0
81,LEC,Ferrari,5.0,10.0,Spain,2019.0,21.0,76.588,0.0,13.931675,22.642,2.0,21.0,0.0,20.0,25.0,0.0,Ferrari,False,142.9006414209942,340,12536,52.62695818428519,4.283335389169853,20.223263846058963,5,race,0,0
82,STR,RacingPoint,16.0,0.0,Spain,2019.0,20.0,78.471,0.0,3.06245,23.321,1.0,0.0,0.0,22.0,22.0,0.0,Mercedes,False,95.17441717034662,332,13061,29.710527938818306,20.728999629949428,9.396200814111262,5,race,1,0
83,MAG,HaasF1Team,8.0,6.0,Spain,2019.0,27.0,76.922,0.0,12.050601,22.5085,2.0,0.0,0.0,22.0,44.0,0.0,Ferrari,False,142.80168373010977,335,13021,47.14037251757741,2.066115702479339,18.53028247193783,5,race,0,0
84,ALB,ToroRosso,11.0,0.0,Spain,2019.0,23.0,77.445,0.0,10.202958,30.468,2.0,0.0,0.0,41.0,25.0,0.0,Honda,False,142.45010484766252,342,12731,46.79483779449858,0.5273220673492044,16.92672998643148,5,race,0,0
85,KVY,ToroRosso,9.0,2.0,Spain,2019.0,25.0,77.243,0.0,12.707797,27.935,2.0,0.0,0.0,45.0,21.0,0.0,Honda,False,142.69930307141976,340,12919,48.09837177747625,1.113235475514987,15.54829159985198,5,race,0,0
86,HUL,Renault,0.0,0.0,Spain,2019.0,31.0,78.404,0.0,11.486043,22.193,1.0,0.0,0.0,35.0,31.0,0.0,Renault,False,140.57215986184778,336,12319,65.7825644504749,18.74306155174541,32.641544344393736,5,race,0,0
87,RIC,Renault,13.0,0.0,Spain,2019.0,30.0,77.299,0.0,12.419753,22.5405,2.0,21.0,0.0,21.0,24.0,0.0,Renault,False,139.93891081781177,336,12314,48.22014925373134,4.132231404958678,16.738620944862465,5,race,0,0
88,VER,RedBullRacing,4.0,15.0,Spain,2019.0,21.0,76.357,0.0,13.827246,22.4785,2.0,0.0,0.0,23.0,43.0,0.0,Honda,False,143.0651289009498,323,12743,45.051992105587765,0.743184901936598,15.156654742814853,5,race,0,0
89,NOR,McLaren,10.0,0.0,Spain,2019.0,19.0,77.338,0.0,2.909658,21.579,1.0,0.0,0.0,18.0,26.0,0.0,Renault,False,95.19581842851856,340,12293,58.5700937461453,26.600468730726533,36.74293820155422,5,race,1,0
90,HAM,Mercedes,2.0,25.0,Spain,2019.0,33.0,76.038,1.0,13.737285,22.388,2.0,0.0,0.0,19.0,47.0,0.0,Mercedes,False,142.77032194399902,332,12659,46.54597878376711,28.42605156037992,15.344763784383868,5,race,0,0
91,VET,Ferrari,3.0,12.0,Spain,2019.0,32.0,76.272,0.0,13.593095,22.6945,2.0,0.0,0.0,47.0,19.0,0.0,Ferrari,False,142.97921549278402,344,12770,54.71493770815345,7.7772295547058095,25.08942888861478,5,race,0,0
92,SAI,McLaren,12.0,4.0,Spain,2019.0,25.0,77.599,0.0,11.014414,21.5065,2.0,0.0,0.0,22.0,44.0,0.0,Renault,False,142.4402985074627,338,12205,46.21392006907611,0.4502281978537066,15.896755889971628,5,race,0,0
93,RUS,Williams,19.0,0.0,Spain,2019.0,20.0,79.072,0.0,10.706687,22.144,2.0,0.0,0.0,53.0,12.0,0.0,Mercedes,False,140.5550450228198,331,12902,44.79730479832244,1.0207228321203898,17.182681633156534,5,race,0,0
94,RAI,AlfaRomeoRacing,14.0,0.0,Spain,2019.0,39.0,77.788,0.0,11.027826,22.4455,2.0,17.0,0.0,28.0,21.0,0.0,Ferrari,False,143.04548538300233,342,12821,54.35031454298754,8.588257061798446,24.836560996669547,5,race,0,0
95,BOT,Mercedes,1.0,18.0,Spain,2019.0,29.0,75.406,0.0,14.630581,22.026,2.0,0.0,0.0,19.0,47.0,0.0,Mercedes,False,143.04215492784013,332,12675,45.84396200814111,31.14592327618108,14.296287159245097,5,race,0,0
